lga_name, lga_code, gps_per_1000_pop, ppl_with_income_less_aud400_per_week_perc
"Alpine (S)",20110,1.3,44.8
"Ararat (RC)",20260,1.0,43.3
"Ballarat (C)",20570,1.5,41.7
"Banyule (C)",20660,1.6,36.9
"Bass Coast (S)",20740,1.2,43.8
"Baw Baw (S)",20830,1.2,41.5
"Bayside (C)",20910,1.8,32.7
"Benalla (RC)",21010,1.2,44.8
"Boroondara (C)",21110,1.6,33.3
"Brimbank (C)",21180,1.0,48.3
"Buloke (S)",21270,1.3,49.6
"Campaspe (S)",21370,1.2,44.2
"Cardinia (S)",21450,0.7,37.6
"Casey (C)",21610,0.9,39.7
"Central Goldfields (S)",21670,0.9,53.5
"Colac-Otway (S)",21750,1.2,41.8
"Corangamite (S)",21830,1.2,43.5
"Darebin (C)",21890,0.8,42.0
"East Gippsland (S)",22110,1.2,47.0
"Frankston (C)",22170,1.0,38.6
"Gannawarra (S)",22250,1.1,48.0
"Glen Eira (C)",22310,1.3,34.9
"Glenelg (S)",22410,1.4,45.6
"Golden Plains (S)",22490,0.5,40.8
"Greater Bendigo (C)",22620,1.3,41.3
"Greater Dandenong (C)",22670,1.2,50.4
"Greater Geelong (C)",22750,1.2,41.8
"Greater Shepparton (C)",22830,1.4,41.3
"Hepburn (S)",22910,1.3,45.8
"Hindmarsh (S)",22980,1.1,46.6
"Hobsons Bay (C)",23110,0.9,39.9
"Horsham (RC)",23190,1.2,39.7
"Hume (C)",23270,0.9,45.3
"Indigo (S)",23350,0.8,40.1
"Kingston (C)",23430,0.7,37.8
"Knox (C)",23670,1.2,37.8
"Latrobe (C)",23810,1.4,45.2
"Loddon (S)",23940,0.5,54.2
"Macedon Ranges (S)",24130,1.3,37.7
"Manningham (C)",24210,1.3,39.8
"Mansfield (S)",24250,1.5,42.9
"Maribyrnong (C)",24330,1.2,40.5
"Maroondah (C)",24410,1.1,36.4
"Melbourne (C)",24600,2.9,37.4
"Melton (C)",24650,0.7,37.8
"Mildura (RC)",24780,1.2,45.1
"Mitchell (S)",24850,1.2,40.5
"Moira (S)",24900,1.1,47.0
"Monash (C)",24970,1.3,43.0
"Moonee Valley (C)",25060,1.2,37.8
"Moorabool (S)",25150,0.9,41.1
"Moreland (C)",25250,1.1,40.9
"Mornington Peninsula (S)",25340,1.1,39.5
"Mount Alexander (S)",25430,1.5,45.0
"Moyne (S)",25490,0.6,39.7
"Murrindindi (S)",25620,0.9,44.4
"Nillumbik (S)",25710,1.2,33.7
"Northern Grampians (S)",25810,1.2,46.0
"Port Phillip (C)",25900,1.5,24.1
"Pyrenees (S)",25990,0.9,51.9
"Queenscliffe (B)",26080,3.3,34.9
"South Gippsland (S)",26170,1.3,43.5
"Southern Grampians (S)",26260,0.8,41.7
"Stonnington (C)",26350,1.8,28.4
"Strathbogie (S)",26430,0.8,45.2
"Surf Coast (S)",26490,1.1,36.3
"Swan Hill (RC)",26610,1.2,43.3
"Towong (S)",26670,1.0,45.4
"Wangaratta (RC)",26700,1.1,42.3
"Warrnambool (C)",26730,1.5,39.7
"Wellington (S)",26810,1.3,44.0
"West Wimmera (S)",26890,1.3,42.9
"Whitehorse (C)",26980,1.2,40.4
"Whittlesea (C)",27070,1.0,42.8
"Wodonga (RC)",27170,1.5,37.3
"Wyndham (C)",27260,0.9,36.9
"Yarra (C)",27350,2.1,29.2
"Yarra Ranges (S)",27450,1.0,37.8
"Yarriambiack (S)",27630,0.7,47.8
