sportsplayed, numberfieldcourts, postcode, objectid
"Athletics",1,3121,9047
"Australian Rules Football",1,3121,9051
"Australian Rules Football",1,3121,9052
"Basketball",2,null,9058
"Boxing",null,null,9064
"Canoe Polo",null,3121,9066
"Cricket",1,3121,9069
"Cricket",1,3121,9072
"Fitness / Gymnasium Workouts",1,3121,9111
"Cricket",1,3121,9073
"Cricket",1,3121,9077
"Cricket",1,3121,9078
"Fitness / Gymnasium Workouts",null,3121,9088
"Fitness / Gymnasium Workouts",null,3121,9089
"Fitness / Gymnasium Workouts",null,3121,9091
"Fitness / Gymnasium Workouts",1,3121,9092
"Fitness / Gymnasium Workouts",null,3121,9093
"Fitness / Gymnasium Workouts",1,3121,9096
"Fitness / Gymnasium Workouts",1,3121,9103
"Fitness / Gymnasium Workouts",null,3121,9104
"Fitness / Gymnasium Workouts",null,3121,9105
"Fitness / Gymnasium Workouts",1,3121,9108
"Fitness / Gymnasium Workouts",1,3121,9121
"Fitness / Gymnasium Workouts",1,3121,9122
"Fitness / Gymnasium Workouts",null,3121,9124
"Fitness / Gymnasium Workouts",null,null,9125
"Fitness / Gymnasium Workouts",1,3121,9126
"Fitness / Gymnasium Workouts",1,3121,9127
"Fitness / Gymnasium Workouts",null,3121,9129
"Fitness / Gymnasium Workouts",null,3121,9130
"Fitness / Gymnasium Workouts",null,3121,9131
"Fitness / Gymnasium Workouts",null,3121,9135
"Fitness / Gymnasium Workouts",null,3121,9139
"Golf",1,3121,9141
"Lawn Bowls",2,3121,9146
"Martial Arts",null,3121,9150
"Martial Arts",null,3121,9154
"Netball",3,null,9157
"Netball",2,3121,9158
"Netball",4,3121,9159
"Soccer",1,3121,9162
"Soccer",2,3121,9165
"Soccer",1,3121,9166
"Soccer",1,3121,9170
"Swimming",3,3121,9181
"Swimming",2,3121,9182
"Tennis (Indoor)",null,3121,9183
"Tennis (Outdoor)",2,3121,9186
"Tennis (Outdoor)",4,3121,9187
"Underwater Hockey",1,3121,9188
"Australian Rules Football",1,3122,1216
"Cricket",2,3122,1244
"Cricket",1,3122,1264
"Lawn Bowls",2,3122,1314
"Soccer",1,3141,7804
"Australian Rules Football",1,null,5500
"Cricket",1,null,5521
"Swimming",1,null,5603
